Stationscode,Stationsname,Stationsumgebung,Art der Station,Gemeinde,Jahr,NO2
DENW208,Gelsenkirchen Kurt-Schumacher-Straße,städtisches Gebiet,Verkehr,Gelsenkirchen,2016,48
DENW209,Oberhausen Mülheimer Straße 116,städtisches Gebiet,Verkehr,Oberhausen,2016,48
DENW210,Erwitte Soester Straße 9A,städtisches Gebiet,Verkehr,Erwitte,2016,36
DENW211,Köln Clevischer Ring,städtisches Gebiet,Verkehr,Köln,2016,63
DENW212,Köln Turiner Straße,städtisches Gebiet,Verkehr,Köln,2016,43
DENW213,Overath Hauptstraße 55,städtisches Gebiet,Verkehr,Overath,2016,41
DENW215,Essen-Frohnhausen,städtisches Gebiet,Verkehr,Essen,2016,50
DENW216,Düsseldorf-Bilk,städtisches Gebiet,Verkehr,Düsseldorf,2016,56
DENW219,Köln-Weiden,städtisches Gebiet,Verkehr,Köln,2016,52
DENW222,Halle (Westfalen) Lange Straße,städtisches Gebiet,Verkehr,Halle (Westf.),2016,41
DENW225,Gevelsberg Hagener Straße,städtisches Gebiet,Verkehr,Gevelsberg,2016,36
DENW228,Bielefeld Stapenhorststraße 42,städtisches Gebiet,Verkehr,Bielefeld,2016,42
DENW230,Bönen Bönener Straße,städtisches Gebiet,Verkehr,Bönen,2016,40
DENW232,Langenfeld Schneiderstraße,städtisches Gebiet,Verkehr,Langenfeld (Rhld.),2016,41
DENW239,Witten-Zentrum,städtisches Gebiet,Verkehr,Witten,2016,45
DENW249,Köln-Junkersdorf Statthalterhofweg 70,städtisches Gebiet,Verkehr,Köln,2016,36
DENW251,Krefeld Kölner Straße 209,städtisches Gebiet,Verkehr,Krefeld,2016,39
DENW252,Krefeld Oranierring,städtisches Gebiet,Verkehr,Krefeld,2016,41
DENW253,Duisburg Friedrich-Ebert-Straße 30,städtisches Gebiet,Verkehr,Duisburg,2016,37
DENW255,Hagen Enneper Straße,städtisches Gebiet,Verkehr,Hagen,2016,33
DENW259,Mönchengladbach Friedrich-Ebert-Straße,städtisches Gebiet,Verkehr,Mönchengladbach,2016,32
DENW260,Münster Weseler Straße,städtisches Gebiet,Verkehr,Münster,2016,38
DENW262,Dinslaken Hans-Böckler-Straße 9,städtisches Gebiet,Verkehr,Dinslaken,2016,37
DENW266,Düren Euskirchener Straße,städtisches Gebiet,Verkehr,Düren,2016,60
DENW267,Hürth Luxemburger Straße 344,städtisches Gebiet,Verkehr,Hürth,2016,47
DENW268,Münster Steinfurter Straße 11,städtisches Gebiet,Verkehr,Münster,2016,37
DENW269,Münster Bült,städtisches Gebiet,Verkehr,Münster,2016,kein Wert verfügbar
DENW272,Siegen Frankfurter Straße,städtisches Gebiet,Verkehr,Siegen,2016,38
DENW275,Dinslaken Hünxer Straße,städtisches Gebiet,Verkehr,Dinslaken,2016,43
DENW277,Essen Krayer Straße 213,städtisches Gebiet,Verkehr,Essen,2016,46
DENW278,Gladbeck Grabenstraße 46,städtisches Gebiet,Verkehr,Gladbeck,2016,kein Wert verfügbar
DENW279,Recklinghausen Kaiserwall,städtisches Gebiet,Verkehr,Recklinghausen,2016,36
DENW281,Hagen Märkischer Ring 85,städtisches Gebiet,Verkehr,Hagen,2016,51
DENW287,Eschweiler Indestraße,städtisches Gebiet,Verkehr,Eschweiler,2016,42
DENW289,Neuss Krefelder Straße,städtisches Gebiet,Verkehr,Neuss,2016,43
DENW290,Neuss Batteriestraße,städtisches Gebiet,Verkehr,Neuss,2016,45
DENW291,Mettmann Breite Straße 10,städtisches Gebiet,Verkehr,Mettmann,2016,41
DENW293,Dinslaken Wilhelm-Lantermann-Straße 33,städtisches Gebiet,Verkehr,Dinslaken,2016,36
DENW294,Emmerich-Elten Schmidtstraße 3,städtisches Gebiet,Verkehr,Emmerich am Rhein,2016,kein Wert verfügbar
DENW296,Recklinghausen Bochumer Straße,städtisches Gebiet,Verkehr,Recklinghausen,2016,40
DENW297,Köln-Meschenich Brühler Landstraße,vorstädtisches Gebiet,Verkehr,Köln,2016,40
DENW299,Gladbeck Grabenstraße 42,städtisches Gebiet,Verkehr,Gladbeck,2016,42
DENW303,Köln Dellbrücker Hauptstraße,städtisches Gebiet,Verkehr,Köln,2016,40
DENW305,Mülheim Kölner Straße (B1),vorstädtisches Gebiet,Verkehr,Mülheim an der Ruhr,2016,37
DENW331,Bochum Herner Straße 385,städtisches Gebiet,Verkehr,Bochum,2016,50
DENW332,Köln Hauptstraße,städtisches Gebiet,Verkehr,Köln,2016,41
DENW334,Kamen Bahnhofstraße 21,städtisches Gebiet,Verkehr,Kamen,2016,kein Wert verfügbar
DENW335,Meerbusch Meerbuscher Straße,städtisches Gebiet,Verkehr,Meerbusch,2016,kein Wert verfügbar
DENW336,Köln Luxemburger Straße,städtisches Gebiet,Verkehr,Köln,2016,49
DENW340,Düsseldorf Ludenberger Straße,städtisches Gebiet,Verkehr,Düsseldorf,2016,53
DENW351,Gelsenkirchen Grothusstraße,städtisches Gebiet,Verkehr,Gelsenkirchen,2016,38
DENW353,Köln Lindweilerweg 144,städtisches Gebiet,Verkehr,Köln,2016,43
DENW354,Düsseldorf Südring,städtisches Gebiet,Verkehr,Düsseldorf,2016,kein Wert verfügbar
DENW355,Leverkusen Gustav-Heinemann-Straße,städtisches Gebiet,Verkehr,Leverkusen,2016,45
DENW356,Lüdenscheid Lennestraße,städtisches Gebiet,Verkehr,Lüdenscheid,2016,kein Wert verfügbar
DENW358,Köln Bergisch Gladbacher Straße,städtisches Gebiet,Verkehr,Köln,2016,41
DENW360,Siegen Sandstraße 15,städtisches Gebiet,Verkehr,Siegen,2016,48
DENW361,Bielefeld-Innenstadt,städtisches Gebiet,Verkehr,Bielefeld,2016,49
DENW363,Paderborn-Schloss Neuhaus,städtisches Gebiet,Verkehr,Paderborn,2016,42
DENW364,Bottrop Peterstraße 9,städtisches Gebiet,Verkehr,Bottrop,2016,39
DENW365,Schwerte Hörder Straße 13,städtisches Gebiet,Verkehr,Schwerte,2016,44
DENW367,Gladbeck Goethestraße,städtisches Gebiet,Verkehr,Gladbeck,2016,38
DENW368,Düsseldorf Burgunderstraße,städtisches Gebiet,Verkehr,Düsseldorf,2016,44
DENW369,Herne Recklinghauser Straße 4/6,städtisches Gebiet,Verkehr,Herne,2016,45
DENW370,Düsseldorf Südring 110,städtisches Gebiet,Verkehr,Düsseldorf,2016,49
DENW371,Aachen-Haaren,städtisches Gebiet,Verkehr,Aachen,2016,44
DENW373,Essen Abteistraße,städtisches Gebiet,Verkehr,Essen,2016,kein Wert verfügbar
DENW376,Duisburg Friedrich-Wilhelm-Straße 25,städtisches Gebiet,Verkehr,Duisburg,2016,kein Wert verfügbar
DENW377,Duisburg Meiderich Bahnhofstraße,städtisches Gebiet,Verkehr,Duisburg,2016,kein Wert verfügbar
DENW379,Essen Hombrucher Straße 31,städtisches Gebiet,Verkehr,Essen,2016,39
DENW383,Bielefeld Herforder Straße,städtisches Gebiet,Verkehr,Bielefeld,2016,kein Wert verfügbar
DENW384,Bochum Dorstener Straße,städtisches Gebiet,Verkehr,Bochum,2016,kein Wert verfügbar
DENW385,Düsseldorf Bernburger Straße,städtisches Gebiet,Verkehr,Düsseldorf,2016,kein Wert verfügbar
DENW393,Düsseldorf Kaiserstraße 31,städtisches Gebiet,Verkehr,Düsseldorf,2016,kein Wert verfügbar
DENW399,Essen Kruppstraße 117,städtisches Gebiet,Verkehr,Essen,2016,kein Wert verfügbar
DENW400,Köln Hahnenstraße 45,städtisches Gebiet,Verkehr,Köln,2016,kein Wert verfügbar
DENW401,Köln Luxemburger Straße 78,städtisches Gebiet,Verkehr,Köln,2016,kein Wert verfügbar
DENW403,Hagen Eckeseyer Str. 7,städtisches Gebiet,Verkehr,Hagen,2016,kein Wert verfügbar
DENW404,Hagen Bergischer Ring 32,städtisches Gebiet,Verkehr,Hagen,2016,kein Wert verfügbar
DENW406,Bochum Dorstener Straße 229,städtisches Gebiet,Verkehr,Bochum,2016,kein Wert verfügbar
DENW407,Bochum Herner Straße 226,städtisches Gebiet,Verkehr,Bochum,2016,kein Wert verfügbar
DENW408,Dortmund Mallinckrodtstraße 192,städtisches Gebiet,Verkehr,Dortmund,2016,kein Wert verfügbar
DENW409,Dortmund Märkische Straße 57,städtisches Gebiet,Verkehr,Dortmund,2016,kein Wert verfügbar
DENW410,Dortmund Ruhrallee 61,städtisches Gebiet,Verkehr,Dortmund,2016,kein Wert verfügbar
DENW411,Dortmund Borsigstraße 53,städtisches Gebiet,Verkehr,Dortmund,2016,kein Wert verfügbar
DENW412,Bielefeld August-Bebel-Straße 79,städtisches Gebiet,Verkehr,Bielefeld,2016,kein Wert verfügbar
DENW413,Bielefeld Kreuzstraße 7,städtisches Gebiet,Verkehr,Bielefeld,2016,kein Wert verfügbar
DENW414,Bielefeld Stapenhorststraße 14,städtisches Gebiet,Verkehr,Bielefeld,2016,kein Wert verfügbar
DENW415,Oberhausen Duisburger Straße,städtisches Gebiet,Verkehr,Oberhausen,2016,kein Wert verfügbar
DENW416,Duisburg Moerser Straße 245,städtisches Gebiet,Verkehr,Duisburg,2016,kein Wert verfügbar
DENW417,Köln Subbelrather Straße 262,städtisches Gebiet,Verkehr,Köln,2016,kein Wert verfügbar
DENW418,Duisburg Asterlager Straße 122,städtisches Gebiet,Verkehr,Duisburg,2016,kein Wert verfügbar
DENW419,Düsseldorf Herzogstraße 37,städtisches Gebiet,Verkehr,Düsseldorf,2016,kein Wert verfügbar
DENW420,Düsseldorf Südring 51,städtisches Gebiet,Verkehr,Düsseldorf,2016,kein Wert verfügbar
DENW421,Düsseldorf Uerdinger Straße 108,städtisches Gebiet,Verkehr,Düsseldorf,2016,kein Wert verfügbar
DENW422,Köln Aachener Straße 491,städtisches Gebiet,Verkehr,Köln,2016,kein Wert verfügbar
DENW423,Duisburg Karl-Jarres-Straße 69,städtisches Gebiet,Verkehr,Duisburg,2016,kein Wert verfügbar
DENW427,Essen Altenessener Straße 255,städtisches Gebiet,Verkehr,Essen,2016,kein Wert verfügbar
DENW428,Duisburg Duisburger Straße 66,städtisches Gebiet,Verkehr,Duisburg,2016,kein Wert verfügbar
DENW429,Bielefeld-Mitte,städtisches Gebiet,Verkehr,Bielefeld,2016,kein Wert verfügbar
DENW430,Düsseldorf Merowingerstraße,städtisches Gebiet,Verkehr,Düsseldorf,2016,kein Wert verfügbar
DENW436,Düren Euskirchener Straße 18/20,städtisches Gebiet,Verkehr,Düren,2016,kein Wert verfügbar
DENW438,Dortmund Bärenbruch,städtisches Gebiet,Verkehr,Dortmund,2016,kein Wert verfügbar
DENW439,Dortmund Bornstraße,städtisches Gebiet,Verkehr,Dortmund,2016,kein Wert verfügbar
DERP010,Mainz-Parcusstraße,städtisches Gebiet,Verkehr,Mainz,2016,53
DERP011,Mainz-Rheinallee,städtisches Gebiet,Verkehr,Mainz,2016,39
DERP012,Mainz-Große Langgasse,städtisches Gebiet,Verkehr,Mainz,2016,42
DERP020,Trier-Ostallee,städtisches Gebiet,Verkehr,Trier,2016,30
DERP023,Worms-Hagenstraße,städtisches Gebiet,Verkehr,Worms,2016,28
DERP024,Koblenz-Friedrich-Ebert-Ring,städtisches Gebiet,Verkehr,Koblenz,2016,35
DERP026,Frankenthal-Europaring,städtisches Gebiet,Verkehr,Frankenthal (Pfalz),2016,34
DERP036,Trier Kaiserstraße,städtisches Gebiet,Verkehr,Trier,2016,kein Wert verfügbar
DERP041,Ludwigshafen-Heinigstraße,städtisches Gebiet,Verkehr,Ludwigshafen am Rhein,2016,46
DERP045,Koblenz-Hohenfelder Straße,städtisches Gebiet,Verkehr,Koblenz,2016,43
DERP046,Neuwied-Hermannstraße,städtisches Gebiet,Verkehr,Neuwied,2016,27
DERP052,Mayen,städtisches Gebiet,Verkehr,Mayen,2016,kein Wert verfügbar
DERP067,Koblenz-Bahnhofstr.,städtisches Gebiet,Verkehr,Koblenz,2016,kein Wert verfügbar
DERP068,Koblenz-Hohenzollernstr.,städtisches Gebiet,Verkehr,Koblenz,2016,kein Wert verfügbar
DERP070,Koblenz-Trierer Str.,städtisches Gebiet,Verkehr,Koblenz,2016,kein Wert verfügbar
DERP071,Koblenz-Rübenach,städtisches Gebiet,Verkehr,Koblenz,2016,kein Wert verfügbar
DERP072,Ludwigshafen-Heinigstr./Wredestr.,städtisches Gebiet,Verkehr,Ludwigshafen am Rhein,2016,kein Wert verfügbar
DERP073,Ludwigshafen-Kaiser-Wilhelmstr.,städtisches Gebiet,Verkehr,Ludwigshafen am Rhein,2016,kein Wert verfügbar
DERP074,Ludwigshafen-Heinigstr./Dörrhorststr.,städtisches Gebiet,Verkehr,Ludwigshafen am Rhein,2016,kein Wert verfügbar
DERP075,Speyer-Bahnhofstraße,städtisches Gebiet,Verkehr,Speyer,2016,kein Wert verfügbar
DERP079,Mainz-Kaiserstr./Rheinallee,städtisches Gebiet,Verkehr,Mainz,2016,kein Wert verfügbar
DERP080,Mainz-Leibnizstr.,städtisches Gebiet,Verkehr,Mainz,2016,kein Wert verfügbar
DERP081,Mainz-Boppstr.,städtisches Gebiet,Verkehr,Mainz,2016,kein Wert verfügbar
DERP082,Mainz-Binger Str.,städtisches Gebiet,Verkehr,Mainz,2016,kein Wert verfügbar
DERP083,Mainz-Bahnhofstr.,städtisches Gebiet,Verkehr,Mainz,2016,kein Wert verfügbar
DERP084,Mainz-Hintere Bleiche,städtisches Gebiet,Verkehr,Mainz,2016,kein Wert verfügbar
DERP085,Mainz-Neubrunnenplatz,städtisches Gebiet,Verkehr,Mainz,2016,kein Wert verfügbar
DERP086,Mainz-Große Bleiche,städtisches Gebiet,Verkehr,Mainz,2016,kein Wert verfügbar
DERP087,Mainz-Bauhofstr. (FM),städtisches Gebiet,Verkehr,Mainz,2016,kein Wert verfügbar
DERP089,Mainz-Große Bleiche (Landtag),städtisches Gebiet,Verkehr,Mainz,2016,kein Wert verfügbar
DERP090,Mainz-Feldbergplatz,städtisches Gebiet,Verkehr,Mainz,2016,kein Wert verfügbar
DERP092,Mainz-Rheinallee/Parkh.,städtisches Gebiet,Verkehr,Mainz,2016,kein Wert verfügbar
DERP094,Mainz-Rheinstraße 24,städtisches Gebiet,Verkehr,Mainz,2016,kein Wert verfügbar
DERP095,Mainz-Rheinallee (Stadtbibliothek),städtisches Gebiet,Verkehr,Mainz,2016,kein Wert verfügbar
DERP096,Mainz-Rheinstr. (DB Cargo),städtisches Gebiet,Verkehr,Mainz,2016,kein Wert verfügbar
DERP097,Mainz-Windmühlenstr.,städtisches Gebiet,Verkehr,Mainz,2016,kein Wert verfügbar
DERP098,Mainz-Fichteplatz,städtisches Gebiet,Verkehr,Mainz,2016,kein Wert verfügbar
DERP099,Mainz-Schillerstr.,städtisches Gebiet,Verkehr,Mainz,2016,kein Wert verfügbar
DERP100,Mainz-Rheinallee (LfU),städtisches Gebiet,Verkehr,Mainz,2016,kein Wert verfügbar
DERP101,Mainz-Rheinstr. (Stadtmauer),städtisches Gebiet,Verkehr,Mainz,2016,kein Wert verfügbar
DERP102,Mainz-Rheinstr. (Rheingoldhalle),städtisches Gebiet,Verkehr,Mainz,2016,kein Wert verfügbar
DERP103,Wörth-Maximiliansau (B10),vorstädtisches Gebiet,Verkehr,Wörth am Rhein,2016,kein Wert verfügbar
DERP105,Wörth-Maximiliansau (Rheinstr.),städtisches Gebiet,Verkehr,Wörth am Rhein,2016,kein Wert verfügbar
DERP106,Koblenz-Charlottenstr.,städtisches Gebiet,Verkehr,Koblenz,2016,kein Wert verfügbar
DERP107,Mainz-Rheinstr./Dagobertstr.,städtisches Gebiet,Verkehr,Mainz,2016,kein Wert verfügbar
DESH022,Flensburg,städtisches Gebiet,Verkehr,Flensburg,2016,34
DESH025,Itzehoe Lindenstr.,städtisches Gebiet,Verkehr,Itzehoe,2016,37
DESH027,Kiel-Bahnhofstr. Verk.,städtisches Gebiet,Verkehr,Kiel,2016,42
DESH028,Ratzeburg,städtisches Gebiet,Verkehr,Ratzeburg,2016,33
DESH030,Norderstedt,städtisches Gebiet,Verkehr,Norderstedt,2016,44
DESH052,Kiel-Theodor-Heuss-Ring,städtisches Gebiet,Verkehr,Kiel,2016,65
DESH053,Lübeck Moislinger Allee,städtisches Gebiet,Verkehr,Lübeck,2016,29
DESH059,Elmshorn-Holstenstraße,städtisches Gebiet,Verkehr,Elmshorn,2016,kein Wert verfügbar
DESH060,Rendsburg-Materialhofstraße,städtisches Gebiet,Verkehr,Rendsburg,2016,kein Wert verfügbar
DESH063,Neumünster-Feldstraße,städtisches Gebiet,Verkehr,Neumünster,2016,kein Wert verfügbar
DESL020,Saarbrücken-Verkehr,städtisches Gebiet,Verkehr,Saarbrücken,2016,39
DESL030,Ottweiler,städtisches Gebiet,Verkehr,Ottweiler,2016,kein Wert verfügbar
DESN006,Borna,städtisches Gebiet,Verkehr,Borna,2016,20
DESN020,Görlitz,städtisches Gebiet,Verkehr,Görlitz,2016,24
DESN025,Leipzig-Mitte,städtisches Gebiet,Verkehr,Leipzig,2016,42
DESN061,Dresden-Nord,städtisches Gebiet,Verkehr,Dresden,2016,31
DESN075,Plauen-Süd,städtisches Gebiet,Verkehr,Plauen,2016,24
DESN077,Leipzig Lützner Str. ,städtisches Gebiet,Verkehr,Leipzig,2016,42
DESN083,Chemnitz-Leipziger Str.,städtisches Gebiet,Verkehr,Chemnitz,2016,kein Wert verfügbar
DESN084,Dresden-Bergstr.,städtisches Gebiet,Verkehr,Dresden,2016,45
DESN091,Zwickau-Werdauer Str.,städtisches Gebiet,Verkehr,Zwickau,2016,25
DEST075,Halle/Merseburger Strasse,städtisches Gebiet,Verkehr,Halle (Saale),2016,32
DEST091,Dessau Albrechtsplatz,städtisches Gebiet,Verkehr,Dessau-Roßlau,2016,20
DEST092,Wittenberg/Dessauer Strasse,städtisches Gebiet,Verkehr,Wittenberg,2016,32
DEST095,Aschersleben,städtisches Gebiet,Verkehr,Aschersleben,2016,29
DEST101,Halberstadt/Friedenstrasse,städtisches Gebiet,Verkehr,Halberstadt,2016,34
DEST102,Halle/Paracelsusstr.,städtisches Gebiet,Verkehr,Halle (Saale),2016,46
DEST103,Magdeburg Schleinufer,städtisches Gebiet,Verkehr,Magdeburg,2016,34
DEST108,Weißenfels/Am Krug,städtisches Gebiet,Verkehr,Weißenfels,2016,19
DEST112,Magdeburg/Guericke-Stra.,städtisches Gebiet,Verkehr,Magdeburg,2016,28
DEST133,Halle/Riebeckplatz,städtisches Gebiet,Verkehr,Halle (Saale),2016,kein Wert verfügbar
DEST134,Dessau/Roßlau,städtisches Gebiet,Verkehr,Dessau-Roßlau,2016,kein Wert verfügbar
DEST144,Magdeburg City-Tunnel,städtisches Gebiet,Verkehr,Magdeburg,2016,kein Wert verfügbar
DETH043,Erfurt Bergstr.,städtisches Gebiet,Verkehr,Erfurt,2016,36
DETH072,Suhl F.-König-Str,städtisches Gebiet,Verkehr,Suhl,2016,28
DETH075,Jena Westbahnhofstr.,städtisches Gebiet,Verkehr,Jena,2016,31
DETH081,Erfurt Heinrichstr,städtisches Gebiet,Verkehr,Erfurt,2016,34
DETH082,Jena Camburger Str.,städtisches Gebiet,Verkehr,Jena,2016,kein Wert verfügbar
DETH083,Weimar Steubenstr.,städtisches Gebiet,Verkehr,Weimar,2016,27
DETH091,Mühlhausen Wanfrieder Str,städtisches Gebiet,Verkehr,Mühlhausen/Thüringen,2016,29
DETH094,Mühlhausen Kiliansgr.,städtisches Gebiet,Verkehr,Mühlhausen/Thüringen,2016,kein Wert verfügbar
DETH097,Gera Str.des Friedens,städtisches Gebiet,Verkehr,Gera,2016,34
DETH098,Gera Theaterstr. PS,städtisches Gebiet,Verkehr,Gera,2016,35
DETH099,Erfurt Walkmühlstr.,städtisches Gebiet,Verkehr,Erfurt,2016,31
DETH100,Mühlhausen Petristeinweg,städtisches Gebiet,Verkehr,Mühlhausen/Thüringen,2016,34
DETH101,Weimar Jenaer Str.,städtisches Gebiet,Verkehr,Weimar,2016,35
DETH102,Suhl Dr.Th.-Neubauer-Str.,städtisches Gebiet,Verkehr,Suhl,2016,36
DETH128,Saalfeld Friedens,städtisches Gebiet,Verkehr,Saalfeld/Saale,2016,kein Wert verfügbar
DETH131,Nordhausen Grimmelallee,städtisches Gebiet,Verkehr,Nordhausen,2016,kein Wert verfügbar
DETH132,Erfurt Schillerstr.,städtisches Gebiet,Verkehr,Erfurt,2016,kein Wert verfügbar
DEBB044,"Cottbus, Bahnhofstr.",städtisches Gebiet,Verkehr,Cottbus,2017,29
DEBB045,"Frankfurt (Oder), Leipziger Str.",städtisches Gebiet,Verkehr,Frankfurt (Oder),2017,32
DEBB049,"Brandenburg, Neuendorfer Str.",städtisches Gebiet,Verkehr,Brandenburg an der Havel,2017,26
DEBB054,"Potsdam, Zeppelinstr.",städtisches Gebiet,Verkehr,Potsdam,2017,34
DEBB060,"Eberswalde, Breite Straße",städtisches Gebiet,Verkehr,Eberswalde,2017,22
DEBB068,"Bernau, Lohmühlenstr.",städtisches Gebiet,Verkehr,Bernau bei Berlin,2017,24
DEBB073,"Potsdam, Großbeerenstr.",städtisches Gebiet,Verkehr,Potsdam,2017,34
DEBB087,"Cottbus, W.-Külz-Str.",städtisches Gebiet,Verkehr,Cottbus,2017,kein Wert verfügbar
DEBB126,"Oranienburg, Bernauer Str.",städtisches Gebiet,Verkehr,Oranienburg,2017,kein Wert verfügbar
DEBE061,Berlin Schildhornstraße,städtisches Gebiet,Verkehr,Berlin,2017,45
DEBE063,Berlin Silbersteinstraße,städtisches Gebiet,Verkehr,Berlin,2017,48
DEBE064,Berlin Karl-Marx-Straße,städtisches Gebiet,Verkehr,Berlin,2017,49
DEBE065,Berlin Frankfurter Allee,städtisches Gebiet,Verkehr,Berlin,2017,41
DEBE067,Berlin Hardenbergplatz,städtisches Gebiet,Verkehr,Berlin,2017,45
DEBE069,Berlin Mariendorfer Damm,städtisches Gebiet,Verkehr,Berlin,2017,47
DEBE082,Berlin Leipziger Straße,städtisches Gebiet,Verkehr,Berlin,2017,kein Wert verfügbar
DEBE083,Berlin Kantstraße,städtisches Gebiet,Verkehr,Berlin,2017,kein Wert verfügbar
DEBE084,Berlin Hauptstraße,städtisches Gebiet,Verkehr,Berlin,2017,kein Wert verfügbar
DEBE085,Berlin Herrmannstraße,städtisches Gebiet,Verkehr,Berlin,2017,kein Wert verfügbar
DEBE086,Berlin Sonnenallee,städtisches Gebiet,Verkehr,Berlin,2017,kein Wert verfügbar
DEBE092,Berlin Spandauer Damm,städtisches Gebiet,Verkehr,Berlin,2017,kein Wert verfügbar
DEBE096,Berlin Landsberger Allee,städtisches Gebiet,Verkehr,Berlin,2017,kein Wert verfügbar
DEBE097,Berlin Herrmannplatz,städtisches Gebiet,Verkehr,Berlin,2017,kein Wert verfügbar
DEBE121,Berlin Mehringdamm,städtisches Gebiet,Verkehr,Berlin,2017,kein Wert verfügbar
DEBE125,Berlin Leipziger Straße (MC),städtisches Gebiet,Verkehr,Berlin,2017,kein Wert verfügbar
DEBE126,Berlin Karl-Marx-Straße II,städtisches Gebiet,Verkehr,Berlin,2017,kein Wert verfügbar
DEBE127,Berlin Silbersteinstraße 5,städtisches Gebiet,Verkehr,Berlin,2017,kein Wert verfügbar
DEBW080,Karlsruhe Reinhold-Frank-Straße,städtisches Gebiet,Verkehr,Karlsruhe,2017,39
DEBW098,Mannheim Friedrichsring,städtisches Gebiet,Verkehr,Mannheim,2017,45
DEBW099,Stuttgart Arnulf-Klett-Platz,städtisches Gebiet,Verkehr,Stuttgart,2017,56
DEBW115,Mannheim Luisenring,städtisches Gebiet,Verkehr,Mannheim,2017,kein Wert verfügbar
DEBW116,Stuttgart Hohenheimer Straße,städtisches Gebiet,Verkehr,Stuttgart,2017,69
DEBW117,Ludwigsburg Friedrichstraße,städtisches Gebiet,Verkehr,Ludwigsburg,2017,51
DEBW118,Stuttgart Am Neckartor,städtisches Gebiet,Verkehr,Stuttgart,2017,73
DEBW120,Leonberg Grabenstraße,städtisches Gebiet,Verkehr,Leonberg,2017,43
DEBW121,Pleidelsheim Beihinger Straße,städtisches Gebiet,Verkehr,Pleidelsheim,2017,44
DEBW122,Freiburg Schwarzwaldstraße,städtisches Gebiet,Verkehr,Freiburg im Breisgau,2017,49
DEBW125,Pfinztal Karlsruher Straße,vorstädtisches Gebiet,Verkehr,Pfinztal,2017,36
DEBW127,Freiburg Zähringer Straße,städtisches Gebiet,Verkehr,Freiburg im Breisgau,2017,37
DEBW128,Mühlacker Stuttgarter Straße,vorstädtisches Gebiet,Verkehr,Mühlacker,2017,47
DEBW130,Pforzheim Jahnstraße,städtisches Gebiet,Verkehr,Pforzheim,2017,38
DEBW133,Ilsfeld König-Wilhelm-Straße,vorstädtisches Gebiet,Verkehr,Ilsfeld,2017,38
DEBW134,Stuttgart Waiblinger Straße,städtisches Gebiet,Verkehr,Stuttgart,2017,45
DEBW135,Herrenberg Hindenburger Straße,städtisches Gebiet,Verkehr,Herrenberg,2017,47
DEBW136,Tübingen Mühlstraße,städtisches Gebiet,Verkehr,Tübingen,2017,48
DEBW137,Tübingen Jesinger Hauptstraße,ländlich stadtnah,Verkehr,Tübingen,2017,39
DEBW138,Ulm Zinglerstraße,städtisches Gebiet,Verkehr,Ulm,2017,kein Wert verfügbar
DEBW142,Markgröningen Grabenstraße,vorstädtisches Gebiet,Verkehr,Markgröningen,2017,39
DEBW144,Walzbachtal Bahnhofstraße,vorstädtisches Gebiet,Verkehr,Walzbachtal,2017,42
DEBW145,Heidenheim Wilhelmstraße,vorstädtisches Gebiet,Verkehr,Heidenheim an der Brenz,2017,41
DEBW147,Reutlingen Lederstraße-Ost,städtisches Gebiet,Verkehr,Reutlingen,2017,60
DEBW148,Ingersheim Tiefengasse,vorstädtisches Gebiet,Verkehr,Ingersheim,2017,kein Wert verfügbar
DEBW151,Heidelberg Mittermaierstraße,städtisches Gebiet,Verkehr,Heidelberg,2017,39
DEBW152,Heilbronn Weinsberger Straße-Ost,städtisches Gebiet,Verkehr,Heilbronn,2017,55
DEBW153,Ulm Karlstraße,städtisches Gebiet,Verkehr,Ulm,2017,40
DEBW154,Freiberg Benninger Straße,vorstädtisches Gebiet,Verkehr,Freiberg am Neckar,2017,39
DEBW155,Schwäbisch Gmünd Remsstraße,städtisches Gebiet,Verkehr,Schwäbisch Gmünd,2017,40
DEBW156,Schramberg Oberndorfer Straße,städtisches Gebiet,Verkehr,Schramberg,2017,36
DEBW157,Wendlingen Stuttgarter Straße,städtisches Gebiet,Verkehr,Wendlingen am Neckar,2017,kein Wert verfügbar
DEBW195,Hemmingen Hauptstraße,vorstädtisches Gebiet,Verkehr,Hemmingen,2017,30
DEBW198,Mögglingen Hauptstraße,vorstädtisches Gebiet,Verkehr,Mögglingen,2017,37
DEBW210,Weil am Rhein Freiburger Straße,städtisches Gebiet,Verkehr,Weil am Rhein,2017,40
DEBW211,Remseck Hauptstraße,vorstädtisches Gebiet,Verkehr,Remseck am Neckar,2017,39
DEBW212,Remseck Remstalstraße,vorstädtisches Gebiet,Verkehr,Remseck am Neckar,2017,36
DEBW213,Balingen Schömberger Straße,vorstädtisches Gebiet,Verkehr,Balingen,2017,34
DEBW214,Bietigheim-Bissingen Stuttgarter Straße,vorstädtisches Gebiet,Verkehr,Bietigheim-Bissingen,2017,38
DEBW219,Backnang Eugen-Adolff-Straße,städtisches Gebiet,Verkehr,Backnang,2017,53
DEBW220,Esslingen Grabbrunnenstraße,städtisches Gebiet,Verkehr,Esslingen am Neckar,2017,48
DEBW222,Kuchen Hauptstraße,ländliches Gebiet,Verkehr,Kuchen,2017,39
DEBW223,Leinfelden-Echterdingen Hauptstraße,städtisches Gebiet,Verkehr,Leinfelden-Echterdingen,2017,41
